Key,Id,English(en),Russian(ru),Spanish(es),French (France)(fr-FR),German(de),Portuguese (Brazil)(pt-BR),Chinese (Simplified)(zh-CN)
Red 1.1.1,96960955703296,"*sigh*<pause:1> Another day, another dollar.",*вздох*<pause:1> Новый день - новая копейка.,"*suspiro*<pause:1> Otro día, otro dólar.","*soupir*<pause:1> Un jour de plus, un dollar de plus.","*seufz*<pause:1> Ein neuer Tag, ein neuer Dollar.","*suspiro*<pause:1> Mais um dia, mais um dólar.",*叹气*<pause:1> 又一天，又一美元。
Red 1.2.1,102732733243392,"Damn,<pause:0.5> this kiddo seems tough,<pause:0.5> he needs at least two icecreams.","Блин,<pause:0.5> этот мелкий выглядит крепким,<pause:0.5> ему понадобится хотя бы две мороженки.","¡Maldita sea, este niño parece duro, necesita al menos dos helados!","Mince alors,<pause:0.5> ce gamin a l'air costaud,<pause:0.5> il a besoin d'au moins deux glaces.","Verdammt, dieser Junge scheint zäh zu sein, er braucht mindestens zwei Eiscremes.","Caramba,<pause:0.5> esse garoto parece durão,<pause:0.5> ele precisa de pelo menos dois sorvetes.",哎呀，这孩子看起来很坚强，他至少需要两个冰淇淋。
Red 1.2.2,102851926974464,"Big boy, huh?<pause:0.75> The bigger they are, the harder they fall.","Большой мальчик, да?<pause:0.75> Чем больше шкаф, тем громче падает.","¡Menudo grandullón! <pause:0.75> Cuanto más grandes son, más dura es la caída.","Un grand garçon, hein ?<pause:0.75> Plus ils sont grands, plus dure est la chute.","Großer Junge, was?<pause:0.75> Je größer sie sind, desto tiefer fallen sie.","Garotão, hein?<pause:0.75> Quanto maior a altura, maior a queda.",大块头啊？<pause:0.75> 越大，摔得越惨。
Red 1.3.1,102931308371968,Stupid old junk.,Старая рухлядь.,Estúpida chatarra vieja.,Vieille camelote stupide.,Blöder alter Schrott.,Lixo velho e estúpido.,破烂不堪的老古董。
Red 1.3.2,103157167448064,Have to clean up the mess.,Нужно вычистить беспорядок.,Hay que limpiar el desastre.,Il faut nettoyer le désordre.,Ich muss den Dreck wegräumen.,Preciso limpar a bagunça.,得收拾残局。
Red 1.3.3,103200687546368,Where is the garbage can?,Где же мусорка?,¿Dónde está el cubo de basura?,Où se trouve la poubelle ?,Wo ist der Mülleimer?,Onde está a lata de lixo?,垃圾桶在哪里？
Red 1.3.4,103255913947136,"Oh,<pause:0.5> there you are.","О,<pause:0.5> вот ты где.","Oh,<pause:0.5> ahí estás.","Ah,<pause:0.5> te voilà.","Oh, <pause:0.5>, da bist du ja.","Ah, aí está você.",哦，<pause:0.5>，你来了。
Red 1.3.5,103266819137536,"Shoo,<pause:0.5> small stinkers.","Кыш,<pause:0.5> вонючки.","¡Fuera, pequeños apestosos!","Dégagez, petits sales types.","Verpisst euch, ihr kleinen Stinker!","Xô, pequenos fedorentos.",嘘，<pause:0.5> 小臭虫。
Red 1.4.1,103795813146624,"Oh,<pause:0.5> wow.<pause:0.5> The first complex order for today.",Oго.<pause:0.5> Первое комплексное блюдо за сегодня.,"Oh,<pause:0.5> wow.<pause:0.5> El primer pedido complejo de hoy.","Oh,<pause:0.5> wow.<pause:0.5> La première commande complexe du jour.","Oh, <pause:0.5> wow.<pause:0.5> Die erste komplexe Bestellung für heute.","Oh,<pause:0.5> uau.<pause:0.5> O primeiro pedido complexo de hoje.",哦，哇。今天的第一个复杂订单。
Red 1.4.2,103882635239424,Still too easy though.,Но все равно это слишком просто.,"Aun así, sigue siendo demasiado fácil.",C'est encore trop facile.,Trotzdem noch zu einfach.,"Mesmo assim, continua muito fácil.",不过还是太容易了。
